name	path	uilabel
mod:lfo1	$modvals	mod:lfo1
mod:lfo2	$modvals	mod:lfo2
mod:lfo3	$modvals	mod:lfo3
mod:lfo4	$modvals	mod:lfo4
mod:lfo5	$modvals	mod:lfo5
mod:lfo6	$modvals	mod:lfo6
aud:mlevel	$audiodata	aud:mlevel
aud:mpeak	$audiodata	aud:mpeak
aud:mpulse	$audiodata	aud:mpulse
aud:menv	$audiodata	aud:menv
leap:l_tx	$leapvals	leap:ltx
leap:l_ty	$leapvals	leap:lty
leap:l_tz	$leapvals	leap:ltz
leap:r_tx	$leapvals	leap:rtx
leap:r_ty	$leapvals	leap:rty
leap:r_tz	$leapvals	leap:rtz
